age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,plausibility_score
30,State-gov,152788,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K,16.2884521484375
49,State-gov,49488,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,40,Germany,<=50K,23.363048553466797
62,State-gov,83572,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,15.822500228881836
43,Self-emp-not-inc,105766,Bachelors,13,Never-married,Tech-support,Own-child,White,Female,0,0,55,United-States,<=50K,20.300281524658203
45,State-gov,274725,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,49,United-States,<=50K,20.351829528808594
29,State-gov,216687,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,16.357938766479492
42,State-gov,223268,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K,15.689727783203125
38,State-gov,53216,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,14.306207656860352
21,Private,206405,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,10.787521362304688
44,State-gov,106891,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,17.05306625366211
41,Self-emp-inc,225303,7th-8th,5,Separated,Handlers-cleaners,Unmarried,White,Male,0,0,40,Mexico,<=50K,42.545379638671875
20,State-gov,155014,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K,16.24721908569336
46,State-gov,379725,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K,19.945159912109375
44,State-gov,149704,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,14.109944343566895
47,State-gov,507129,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K,17.726057052612305
42,State-gov,39732,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,14.761958122253418
53,State-gov,30851,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,60,United-States,<=50K,23.504329681396484
54,State-gov,304232,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,13.111770629882812
35,State-gov,222705,Bachelors,13,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,1813,40,United-States,<=50K,28.793964385986328
34,State-gov,152579,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,55,United-States,<=50K,15.336642265319824
31,State-gov,125208,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,United-States,<=50K,17.411378860473633
35,State-gov,218807,HS-grad,9,Divorced,Protective-serv,Unmarried,Black,Male,0,0,35,United-States,<=50K,20.449668884277344
31,State-gov,173709,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,14.98865032196045
28,State-gov,403394,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,16.04685401916504
25,State-gov,117172,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,China,<=50K,22.132286071777344
59,State-gov,106285,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,30,United-States,>50K,21.30502700805664
26,State-gov,168588,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,11.990647315979004
47,State-gov,29074,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,14.642620086669922
49,State-gov,237879,Bachelors,13,Separated,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,17.629619598388672
29,State-gov,167866,Bachelors,13,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K,20.09339141845703
50,State-gov,134286,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,12.096015930175781
34,State-gov,176764,Bachelors,13,Divorced,Transport-moving,Not-in-family,White,Male,0,0,53,United-States,<=50K,19.391162872314453
40,State-gov,121363,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,20,United-States,<=50K,18.54711151123047
29,State-gov,107321,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,>50K,17.951189041137695
49,State-gov,243682,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K,19.03420066833496
25,State-gov,183202,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,13.77896499633789
61,State-gov,161324,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7688,0,35,United-States,>50K,21.648780822753906
55,State-gov,155993,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,1902,60,United-States,>50K,21.693519592285156
45,State-gov,356647,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,66,United-States,>50K,22.195341110229492
30,State-gov,143693,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,14.79444694519043
27,State-gov,310780,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K,18.130773544311523
42,State-gov,233086,Assoc-voc,12,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,60,United-States,<=50K,20.09368896484375
23,State-gov,236844,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,16,United-States,<=50K,18.40241241455078
42,State-gov,146784,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,<=50K,16.898284912109375
22,State-gov,128531,Bachelors,13,Never-married,Protective-serv,Own-child,White,Male,0,0,35,United-States,<=50K,16.543588638305664
37,State-gov,229495,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,16.339601516723633
35,State-gov,135723,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,14.05998420715332
25,State-gov,142275,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,15.360103607177734
31,State-gov,28019,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,<=50K,14.400228500366211
39,State-gov,98930,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,>50K,15.807456016540527
31,State-gov,290434,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,11.906976699829102
34,State-gov,81950,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,17.916210174560547
17,State-gov,143089,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,14,United-States,<=50K,13.84249496459961
65,Self-emp-not-inc,182443,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,14.993257522583008
29,State-gov,144179,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,<=50K,12.679133415222168
34,State-gov,311258,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,United-States,<=50K,17.93437957763672
43,State-gov,144125,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,15.317009925842285
31,State-gov,168604,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,12.810531616210938
34,State-gov,208658,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,14.509928703308105
50,State-gov,171675,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,13.436002731323242
32,State-gov,55199,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K,16.278945922851562
25,State-gov,107054,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,2466,0,40,United-States,<=50K,17.99479866027832
28,Private,244344,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,<=50K,15.860736846923828
65,State-gov,183527,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,Puerto-Rico,>50K,25.299896240234375
41,State-gov,77754,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,30,United-States,<=50K,19.601722717285156
24,State-gov,264849,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,50,United-States,>50K,21.295166015625
30,State-gov,405944,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K,15.889464378356934
45,State-gov,192551,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,60,United-States,>50K,17.836030960083008
37,State-gov,233658,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,14.472102165222168
41,State-gov,209447,HS-grad,9,Divorced,Transport-moving,Other-relative,White,Male,0,0,40,United-States,<=50K,18.181108474731445
67,State-gov,82099,HS-grad,9,Widowed,Sales,Unmarried,Black,Female,0,0,60,United-States,<=50K,21.830821990966797
34,State-gov,239800,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,16.153934478759766
42,State-gov,497090,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Female,15024,0,40,United-States,>50K,22.570077896118164
55,State-gov,201167,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,Black,Female,0,0,40,United-States,<=50K,19.686323165893555
25,State-gov,251370,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,13.548530578613281
33,State-gov,114572,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Female,3517,0,40,United-States,<=50K,23.966970443725586
71,State-gov,190153,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,14.928667068481445
32,State-gov,410820,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,13.359725952148438
52,State-gov,95834,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,17.67923927307129
28,State-gov,120844,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,>50K,19.24301528930664
50,State-gov,174089,11th,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,25.02075958251953
56,State-gov,178369,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,3331,0,40,United-States,<=50K,19.08776092529297
45,State-gov,337631,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,20,United-States,<=50K,19.377878189086914
40,State-gov,181891,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,7984,0,45,United-States,>50K,22.991947174072266
52,Self-emp-not-inc,176041,11th,6,Divorced,Craft-repair,Unmarried,White,Male,0,0,80,El-Salvador,<=50K,33.11172103881836
24,State-gov,150800,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,20,United-States,<=50K,16.148677825927734
44,State-gov,37067,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,15.26032543182373
37,State-gov,226934,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,12.120623588562012
44,State-gov,33408,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,43,United-States,<=50K,18.60173225402832
32,State-gov,113079,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,60,United-States,<=50K,18.074974060058594
46,Self-emp-inc,250315,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,13.239500999450684
44,State-gov,293341,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K,14.797714233398438
28,State-gov,83045,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,15.348132133483887
63,State-gov,106715,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,13.41834831237793
47,State-gov,309787,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,17.790809631347656
45,State-gov,212707,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K,17.337949752807617
42,State-gov,83053,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,11.836893081665039
54,State-gov,236738,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,15.04228687286377
23,Private,221754,11th,7,Married-spouse-absent,Farming-fishing,Other-relative,White,Male,0,0,25,Mexico,<=50K,23.934661865234375
23,State-gov,151839,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,50,United-States,<=50K,16.05547332763672
26,Self-emp-not-inc,265175,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,Peru,<=50K,22.990283966064453
48,Self-emp-inc,199903,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,12.726757049560547
26,State-gov,205156,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K,18.357776641845703
40,State-gov,275539,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,55,United-States,<=50K,21.671201705932617
40,State-gov,525484,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,12.954458236694336
29,State-gov,88673,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,18.937278747558594
34,State-gov,40214,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,16.579635620117188
45,State-gov,180429,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,70,United-States,>50K,23.207685470581055
41,State-gov,87609,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K,16.117067337036133
55,State-gov,138021,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,14.435898780822754
18,State-gov,344086,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,32,United-States,<=50K,15.289703369140625
61,State-gov,34463,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,6,United-States,<=50K,17.46792221069336
58,State-gov,47970,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4698,0,52,United-States,>50K,19.893978118896484
37,State-gov,394785,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,12.954458236694336
47,State-gov,247178,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1814,37,United-States,>50K,22.17087173461914
44,State-gov,36452,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States,>50K,18.357418060302734
31,State-gov,144243,HS-grad,9,Separated,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,17.485137939453125
32,State-gov,208122,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,34,United-States,<=50K,17.353923797607422
39,State-gov,342315,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,38,United-States,<=50K,17.91292381286621
54,State-gov,109834,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K,16.357065200805664
53,State-gov,236656,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4114,0,50,United-States,<=50K,18.880783081054688
39,Self-emp-inc,100581,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,<=50K,12.934516906738281
25,State-gov,263589,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,12.209996223449707
17,State-gov,56364,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,14,United-States,<=50K,14.687005996704102
22,State-gov,174512,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,<=50K,15.157547950744629
19,State-gov,50336,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,<=50K,13.985177993774414
35,State-gov,216816,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,13.303177833557129
49,State-gov,103528,Bachelors,13,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,17.7681827545166
27,State-gov,101685,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,10,United-States,<=50K,17.128541946411133
40,State-gov,350518,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,14.397991180419922
24,State-gov,317417,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,13.171072006225586
29,State-gov,105586,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K,16.177276611328125
55,State-gov,195227,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United-States,<=50K,17.667736053466797
34,State-gov,113541,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,15.642980575561523
26,State-gov,130648,Bachelors,13,Married-spouse-absent,Prof-specialty,Wife,White,Female,0,0,60,United-States,>50K,30.024803161621094
42,State-gov,117047,HS-grad,9,Divorced,Sales,Not-in-family,Black,Female,0,0,35,United-States,<=50K,22.125404357910156
45,State-gov,231129,Doctorate,16,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,Honduras,>50K,28.79259490966797
49,Self-emp-not-inc,193842,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,11.277385711669922
35,State-gov,293032,Bachelors,13,Never-married,Other-service,Unmarried,Black,Female,0,0,32,Ireland,<=50K,28.596866607666016
50,State-gov,279673,Bachelors,13,Married-spouse-absent,Exec-managerial,Other-relative,White,Male,0,0,60,Mexico,<=50K,28.707361221313477
28,State-gov,197323,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,14.823877334594727
25,State-gov,172745,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,25,United-States,<=50K,13.273823738098145
47,Self-emp-not-inc,69005,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,14.68934440612793
65,Self-emp-inc,197094,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K,16.16262435913086
47,State-gov,210099,HS-grad,9,Separated,Farming-fishing,Unmarried,White,Female,0,0,35,United-States,<=50K,22.23656463623047
40,State-gov,274378,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,>50K,17.201210021972656
64,State-gov,157854,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K,17.948646545410156
65,State-gov,135038,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,7688,0,48,United-States,>50K,19.92181396484375
38,State-gov,332067,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,38,United-States,<=50K,17.475574493408203
27,State-gov,110210,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K,14.274062156677246
42,State-gov,304680,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K,15.548015594482422
31,State-gov,145504,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,17.576736450195312
25,State-gov,221319,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,8,United-States,<=50K,16.231369018554688
41,State-gov,242242,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Germany,<=50K,20.26645278930664
35,State-gov,123863,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,38,United-States,>50K,18.349376678466797
54,State-gov,388390,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,13.267827987670898
30,State-gov,185180,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,35,United-States,<=50K,19.428850173950195
60,State-gov,198811,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,20.069351196289062
44,State-gov,167409,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,42,United-States,<=50K,13.439666748046875
58,Self-emp-not-inc,90752,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,16.37436294555664
45,State-gov,118349,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38,United-States,<=50K,12.937139511108398
23,State-gov,165762,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,21,United-States,<=50K,16.891855239868164
33,State-gov,292134,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,48,United-States,<=50K,16.115272521972656
30,Private,195799,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,12.04269027709961
23,State-gov,165837,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,27,United-States,<=50K,15.980117797851562
29,State-gov,218162,Bachelors,13,Separated,Tech-support,Not-in-family,White,Male,0,0,55,United-States,>50K,23.356674194335938
48,State-gov,198518,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,50,United-States,<=50K,18.90299415588379
43,State-gov,236900,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7838,0,50,United-States,>50K,16.029312133789062
21,State-gov,49094,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,71,Jamaica,<=50K,23.578182220458984
60,State-gov,196712,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6476,0,45,United-States,>50K,19.96063995361328
26,State-gov,86124,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,38,United-States,<=50K,13.709694862365723
33,State-gov,216507,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,14.520349502563477
37,State-gov,109381,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,16.703290939331055
45,State-gov,129474,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,14.06645679473877
30,State-gov,22656,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K,19.390106201171875
40,State-gov,215351,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,15.716474533081055
